nroEj;ClaseImagen;ClaseInferida;Tiempo;Confianza;Correcto;;Metricas
4863 ; 22 ; 22 ; N/A ; 1.00;SI;;
4864 ;  5 ; 28 ; N/A ; 0.59;NO;;
4865 ; 23 ; 23 ; N/A ; 1.00;SI;;
4866 ; 17 ; 17 ; N/A ; 0.90;SI;;
4867 ;  8 ;  8 ; N/A ; 1.00;SI;;
4868 ; 17 ; 17 ; N/A ; 1.00;SI;;
4869 ; 30 ; 30 ; N/A ; 1.00;SI;;
4870 ; 29 ; 29 ; N/A ; 0.88;SI;;
4871 ;  1 ;  1 ; N/A ; 0.72;SI;;
4872 ; 30 ; 34 ; N/A ; 0.65;NO;;
4873 ; 31 ; 31 ; N/A ; 0.73;SI;;
4874 ; 12 ; 12 ; N/A ; 1.00;SI;;
4875 ; 30 ; 30 ; N/A ; 0.95;SI;;
4876 ;  1 ; 18 ; N/A ; 0.63;NO;;
4877 ;  0 ;  0 ; N/A ; 0.64;SI;;
4878 ; 22 ; 22 ; N/A ; 1.00;SI;;
4879 ;  2 ;  2 ; N/A ; 0.96;SI;;
4880 ;  3 ;  3 ; N/A ; 0.94;SI;;
4881 ; 16 ; 16 ; N/A ; 1.00;SI;;
4882 ;  1 ; 18 ; N/A ; 0.60;NO;;
4883 ;  1 ; 18 ; N/A ; 0.89;NO;;
4884 ; 13 ; 24 ; N/A ; 0.75;NO;;
4885 ; 32 ; 32 ; N/A ; 1.00;SI;;
4886 ;  7 ;  7 ; N/A ; 1.00;SI;;
4887 ; 23 ; 23 ; N/A ; 0.97;SI;;
4888 ; 29 ; 29 ; N/A ; 0.98;SI;;
4889 ; 27 ; 27 ; N/A ; 0.94;SI;;
4890 ; 35 ; 35 ; N/A ; 0.97;SI;;
4891 ; 27 ; 27 ; N/A ; 0.87;SI;;
4892 ;  7 ;  7 ; N/A ; 1.00;SI;;
4893 ; 13 ; 13 ; N/A ; 0.64;SI;;
4894 ; 19 ; 19 ; N/A ; 0.91;SI;;
4895 ;  7 ;  7 ; N/A ; 0.91;SI;;
4896 ; 30 ; 30 ; N/A ; 1.00;SI;;
4897 ; 22 ; 22 ; N/A ; 1.00;SI;;
4898 ; 16 ; 16 ; N/A ; 0.95;SI;;
4899 ; 23 ; 23 ; N/A ; 1.00;SI;;
4900 ;  6 ;  6 ; N/A ; 1.00;SI;;
4901 ; 22 ; 32 ; N/A ; 0.76;NO;;
4902 ; 11 ; 11 ; N/A ; 1.00;SI;;
4903 ; 30 ; 30 ; N/A ; 1.00;SI;;
4904 ; 31 ; 31 ; N/A ; 0.98;SI;;
4905 ;  1 ;  1 ; N/A ; 0.85;SI;;
4906 ; 33 ; 33 ; N/A ; 1.00;SI;;
4907 ; 15 ; 15 ; N/A ; 0.93;SI;;
4908 ; 16 ; 16 ; N/A ; 1.00;SI;;
4909 ;  7 ;  7 ; N/A ; 0.99;SI;;
4910 ; 34 ; 34 ; N/A ; 0.99;SI;;
4911 ; 35 ; 35 ; N/A ; 0.97;SI;;
4912 ; 30 ; 30 ; N/A ; 0.85;SI;;
4913 ;  2 ;  2 ; N/A ; 1.00;SI;;
4914 ; 29 ; 29 ; N/A ; 1.00;SI;;
4915 ; 29 ; 29 ; N/A ; 1.00;SI;;
4916 ; 29 ; 29 ; N/A ; 1.00;SI;;
4917 ; 15 ; 15 ; N/A ; 0.85;SI;;
4918 ; 14 ; 14 ; N/A ; 1.00;SI;;
4919 ; 12 ; 12 ; N/A ; 0.95;SI;;
4920 ; 35 ; 35 ; N/A ; 0.97;SI;;
4921 ; 26 ; 26 ; N/A ; 1.00;SI;;
4922 ; 13 ; 13 ; N/A ; 1.00;SI;;
4923 ; 24 ; 24 ; N/A ; 0.86;SI;;
4924 ;  3 ;  3 ; N/A ; 1.00;SI;;
4925 ; 33 ; 33 ; N/A ; 1.00;SI;;
4926 ; 21 ; 21 ; N/A ; 0.99;SI;;
4927 ; 16 ; 16 ; N/A ; 1.00;SI;;
4928 ;  9 ;  9 ; N/A ; 0.97;SI;;
4929 ;  7 ;  7 ; N/A ; 0.98;SI;;
4930 ;  0 ;  0 ; N/A ; 0.56;SI;;
4931 ;  8 ;  8 ; N/A ; 0.99;SI;;
4932 ; 34 ; 34 ; N/A ; 0.98;SI;;
4933 ; 16 ; 16 ; N/A ; 0.95;SI;;
4934 ; 20 ; 20 ; N/A ; 0.94;SI;;
4935 ; 32 ; 23 ; N/A ; 0.71;NO;;
4936 ; 23 ; 23 ; N/A ; 0.99;SI;;
4937 ; 27 ; 27 ; N/A ; 1.00;SI;;
4938 ; 14 ; 14 ; N/A ; 1.00;SI;;
4939 ; 33 ; 33 ; N/A ; 1.00;SI;;
4940 ; 33 ; 33 ; N/A ; 0.95;SI;;
4941 ; 25 ; 25 ; N/A ; 1.00;SI;;
4942 ; 23 ; 23 ; N/A ; 1.00;SI;;
4943 ;  6 ;  6 ; N/A ; 1.00;SI;;
4944 ; 26 ; 26 ; N/A ; 1.00;SI;;
4945 ; 28 ; 28 ; N/A ; 0.65;SI;;
4946 ;  0 ;  0 ; N/A ; 0.51;SI;;
4947 ; 33 ; 33 ; N/A ; 0.97;SI;;
4948 ; 32 ; 32 ; N/A ; 1.00;SI;;
4949 ; 16 ; 11 ; N/A ; 0.50;NO;;
4950 ; 26 ; 26 ; N/A ; 1.00;SI;;
4951 ; 20 ; 20 ; N/A ; 1.00;SI;;
4952 ;  0 ;  0 ; N/A ; 0.71;SI;;
4953 ;  9 ;  9 ; N/A ; 1.00;SI;;
4954 ;  8 ;  8 ; N/A ; 1.00;SI;;
4955 ;  2 ;  2 ; N/A ; 1.00;SI;;
4956 ; 32 ; 32 ; N/A ; 1.00;SI;;
4957 ; 12 ;  4 ; N/A ; 0.77;NO;;
4958 ;  7 ;  7 ; N/A ; 1.00;SI;;
4959 ;  9 ;  9 ; N/A ; 1.00;SI;;
4960 ; 23 ; 23 ; N/A ; 1.00;SI;;
4961 ; 34 ; 34 ; N/A ; 1.00;SI;;
4962 ;  1 ; 18 ; N/A ; 0.58;NO;;
4963 ;  8 ;  8 ; N/A ; 0.95;SI;;
4964 ;  7 ;  7 ; N/A ; 0.49;SI;;
4965 ;  7 ; 34 ; N/A ; 0.91;NO;;
4966 ; 33 ; 33 ; N/A ; 1.00;SI;;
4967 ; 19 ; 19 ; N/A ; 0.97;SI;;
4968 ; 14 ; 14 ; N/A ; 1.00;SI;;
4969 ; 35 ; 35 ; N/A ; 0.97;SI;;
4970 ; 22 ; 22 ; N/A ; 1.00;SI;;
4971 ;  9 ;  9 ; N/A ; 1.00;SI;;
4972 ; 22 ; 22 ; N/A ; 1.00;SI;;
4973 ; 25 ; 25 ; N/A ; 1.00;SI;;
4974 ; 23 ; 23 ; N/A ; 0.99;SI;;
4975 ; 15 ; 25 ; N/A ; 0.55;NO;;
4976 ; 35 ; 35 ; N/A ; 0.93;SI;;
4977 ;  7 ;  7 ; N/A ; 1.00;SI;;
4978 ;  8 ;  8 ; N/A ; 0.97;SI;;
4979 ; 19 ; 19 ; N/A ; 1.00;SI;;
4980 ;  0 ; 24 ; N/A ; 0.58;NO;;
4981 ; 11 ; 11 ; N/A ; 0.95;SI;;
4982 ; 29 ; 29 ; N/A ; 1.00;SI;;
4983 ;  1 ;  1 ; N/A ; 0.66;SI;;
4984 ;  7 ;  7 ; N/A ; 1.00;SI;;
4985 ;  4 ;  4 ; N/A ; 1.00;SI;;
4986 ; 32 ; 32 ; N/A ; 1.00;SI;;
4987 ; 17 ; 17 ; N/A ; 0.99;SI;;
4988 ; 10 ; 10 ; N/A ; 0.28;SI;;
4989 ; 12 ; 12 ; N/A ; 0.86;SI;;
4990 ; 35 ; 35 ; N/A ; 0.79;SI;;
4991 ;  1 ;  1 ; N/A ; 0.55;SI;;
4992 ; 20 ; 20 ; N/A ; 1.00;SI;;
4993 ; 18 ; 18 ; N/A ; 0.88;SI;;
4994 ; 33 ; 33 ; N/A ; 1.00;SI;;
4995 ;  9 ;  9 ; N/A ; 1.00;SI;;
4996 ; 32 ; 32 ; N/A ; 1.00;SI;;
4997 ; 31 ; 31 ; N/A ; 0.73;SI;;
4998 ;  1 ;  1 ; N/A ; 0.60;SI;;
4999 ;  8 ;  8 ; N/A ; 1.00;SI;;
5000 ; 10 ; 10 ; N/A ; 0.93;SI;;
5001 ;  4 ;  4 ; N/A ; 1.00;SI;;
5002 ; 15 ; 15 ; N/A ; 1.00;SI;;
5003 ; 35 ; 35 ; N/A ; 0.98;SI;;
5004 ;  3 ;  8 ; N/A ; 0.76;NO;;
5005 ;  7 ; 29 ; N/A ; 0.81;NO;;
5006 ; 13 ; 13 ; N/A ; 0.94;SI;;
5007 ; 19 ; 19 ; N/A ; 1.00;SI;;
5008 ; 28 ; 28 ; N/A ; 0.99;SI;;
5009 ; 32 ; 32 ; N/A ; 1.00;SI;;
5010 ; 19 ; 19 ; N/A ; 0.98;SI;;
5011 ; 14 ; 14 ; N/A ; 1.00;SI;;
5012 ;  0 ;  0 ; N/A ; 0.64;SI;;
5013 ; 24 ; 24 ; N/A ; 0.65;SI;;
5014 ;  3 ;  3 ; N/A ; 0.98;SI;;
5015 ; 20 ; 20 ; N/A ; 0.99;SI;;
5016 ; 19 ; 19 ; N/A ; 0.98;SI;;
5017 ; 16 ; 16 ; N/A ; 0.53;SI;;
5018 ;  3 ;  3 ; N/A ; 1.00;SI;;
5019 ; 11 ; 11 ; N/A ; 0.92;SI;;
5020 ; 34 ;  4 ; N/A ; 0.75;NO;;
5021 ; 12 ; 12 ; N/A ; 1.00;SI;;
5022 ;  7 ;  7 ; N/A ; 1.00;SI;;
5023 ; 22 ; 22 ; N/A ; 1.00;SI;;
5024 ; 35 ; 35 ; N/A ; 0.81;SI;;
5025 ;  2 ;  2 ; N/A ; 0.96;SI;;
5026 ; 12 ; 12 ; N/A ; 0.83;SI;;
5027 ; 15 ; 15 ; N/A ; 0.99;SI;;
5028 ; 34 ; 34 ; N/A ; 1.00;SI;;
5029 ; 11 ; 11 ; N/A ; 0.70;SI;;
5030 ; 18 ; 18 ; N/A ; 0.87;SI;;
5031 ;  9 ;  9 ; N/A ; 1.00;SI;;
5032 ; 19 ; 19 ; N/A ; 1.00;SI;;
5033 ;  7 ;  7 ; N/A ; 0.99;SI;;
5034 ;  1 ;  1 ; N/A ; 0.88;SI;;
5035 ; 28 ; 28 ; N/A ; 0.99;SI;;
5036 ; 16 ; 16 ; N/A ; 1.00;SI;;
5037 ; 27 ;  8 ; N/A ; 0.82;NO;;
5038 ; 22 ; 22 ; N/A ; 1.00;SI;;
5039 ; 13 ; 13 ; N/A ; 0.96;SI;;
5040 ;  4 ;  4 ; N/A ; 0.88;SI;;
5041 ; 20 ; 20 ; N/A ; 0.99;SI;;
5042 ; 21 ;  1 ; N/A ; 0.62;NO;;
5043 ; 32 ; 32 ; N/A ; 0.99;SI;;
5044 ; 24 ; 12 ; N/A ; 0.56;NO;;
5045 ;  8 ;  8 ; N/A ; 1.00;SI;;
5046 ; 35 ; 35 ; N/A ; 0.91;SI;;
5047 ;  7 ;  7 ; N/A ; 0.90;SI;;
5048 ;  9 ;  9 ; N/A ; 0.99;SI;;
5049 ;  9 ;  9 ; N/A ; 1.00;SI;;
5050 ;  8 ;  8 ; N/A ; 0.72;SI;;
5051 ; 32 ; 32 ; N/A ; 0.99;SI;;
5052 ;  7 ;  7 ; N/A ; 1.00;SI;;
5053 ; 31 ; 31 ; N/A ; 1.00;SI;;
5054 ; 33 ; 34 ; N/A ; 0.93;NO;;
5055 ; 34 ; 34 ; N/A ; 0.95;SI;;
5056 ; 19 ; 19 ; N/A ; 0.99;SI;;
5057 ; 27 ; 27 ; N/A ; 0.97;SI;;
5058 ; 25 ; 25 ; N/A ; 0.99;SI;;
5059 ; 32 ; 32 ; N/A ; 1.00;SI;;
5060 ; 21 ; 21 ; N/A ; 0.51;SI;;
5061 ; 27 ; 27 ; N/A ; 0.93;SI;;
5062 ; 25 ; 25 ; N/A ; 1.00;SI;;
5063 ;  6 ; 16 ; N/A ; 0.67;NO;;
5064 ;  6 ;  6 ; N/A ; 0.92;SI;;
5065 ;  9 ;  9 ; N/A ; 0.97;SI;;
5066 ; 27 ; 27 ; N/A ; 0.97;SI;;
5067 ; 13 ; 13 ; N/A ; 0.80;SI;;
5068 ; 18 ;  1 ; N/A ; 0.43;NO;;
5069 ;  6 ;  6 ; N/A ; 0.97;SI;;
5070 ;  2 ;  2 ; N/A ; 0.99;SI;;
5071 ; 21 ; 21 ; N/A ; 1.00;SI;;
5072 ; 26 ; 26 ; N/A ; 1.00;SI;;
5073 ;  8 ;  8 ; N/A ; 1.00;SI;;
5074 ;  7 ;  7 ; N/A ; 1.00;SI;;
5075 ;  2 ;  2 ; N/A ; 0.93;SI;;
5076 ; 29 ; 29 ; N/A ; 0.34;SI;;
5077 ; 15 ; 15 ; N/A ; 0.99;SI;;
5078 ; 18 ; 18 ; N/A ; 0.83;SI;;
5079 ; 31 ; 31 ; N/A ; 0.99;SI;;
5080 ; 12 ; 12 ; N/A ; 1.00;SI;;
5081 ; 22 ; 22 ; N/A ; 0.96;SI;;
5082 ;  9 ;  9 ; N/A ; 1.00;SI;;
5083 ; 28 ; 28 ; N/A ; 0.97;SI;;
5084 ;  1 ;  1 ; N/A ; 0.50;SI;;
5085 ; 25 ; 25 ; N/A ; 0.99;SI;;
5086 ;  4 ;  4 ; N/A ; 0.86;SI;;
5087 ; 26 ; 26 ; N/A ; 1.00;SI;;
5088 ;  6 ;  6 ; N/A ; 1.00;SI;;
5089 ; 10 ; 10 ; N/A ; 1.00;SI;;
5090 ;  4 ;  4 ; N/A ; 1.00;SI;;
5091 ; 17 ; 17 ; N/A ; 1.00;SI;;
5092 ; 13 ; 13 ; N/A ; 0.99;SI;;
5093 ; 26 ; 26 ; N/A ; 1.00;SI;;
5094 ; 23 ; 23 ; N/A ; 0.99;SI;;
5095 ; 25 ; 25 ; N/A ; 0.70;SI;;
5096 ;  5 ;  5 ; N/A ; 0.54;SI;;
5097 ; 19 ; 19 ; N/A ; 0.99;SI;;
5098 ; 11 ;  6 ; N/A ; 0.68;NO;;
5099 ; 34 ; 34 ; N/A ; 0.98;SI;;
5100 ; 10 ; 10 ; N/A ; 1.00;SI;;
5101 ; 18 ; 18 ; N/A ; 0.98;SI;;
5102 ; 30 ; 30 ; N/A ; 0.95;SI;;
5103 ; 24 ;  0 ; N/A ; 0.62;NO;;
5104 ; 13 ; 13 ; N/A ; 0.94;SI;;
5105 ;  0 ;  0 ; N/A ; 0.54;SI;;
5106 ; 31 ; 31 ; N/A ; 0.93;SI;;
5107 ;  8 ;  8 ; N/A ; 0.79;SI;;
5108 ; 21 ; 21 ; N/A ; 0.56;SI;;
5109 ; 10 ; 24 ; N/A ; 0.44;NO;;
5110 ; 29 ; 29 ; N/A ; 1.00;SI;;
5111 ; 10 ; 10 ; N/A ; 0.97;SI;;
5112 ; 11 ; 11 ; N/A ; 0.92;SI;;
5113 ; 12 ; 12 ; N/A ; 1.00;SI;;
5114 ; 35 ; 14 ; N/A ; 0.72;NO;;
5115 ;  7 ;  7 ; N/A ; 0.99;SI;;
5116 ;  1 ;  1 ; N/A ; 0.56;SI;;
5117 ;  9 ;  9 ; N/A ; 0.97;SI;;
5118 ; 35 ; 35 ; N/A ; 0.92;SI;;
5119 ; 29 ; 29 ; N/A ; 1.00;SI;;
5120 ; 27 ; 27 ; N/A ; 1.00;SI;;
5121 ; 15 ; 15 ; N/A ; 1.00;SI;;
5122 ; 17 ; 17 ; N/A ; 0.79;SI;;
5123 ; 33 ; 33 ; N/A ; 0.99;SI;;
5124 ; 31 ; 31 ; N/A ; 0.84;SI;;
5125 ;  1 ;  1 ; N/A ; 0.79;SI;;
5126 ;  1 ;  1 ; N/A ; 0.72;SI;;
5127 ; 28 ; 28 ; N/A ; 0.92;SI;;
5128 ; 30 ;  6 ; N/A ; 0.35;NO;;
5129 ; 31 ; 31 ; N/A ; 0.99;SI;;
5130 ; 11 ; 11 ; N/A ; 0.86;SI;;
5131 ; 26 ; 10 ; N/A ; 0.88;NO;;
5132 ; 31 ; 31 ; N/A ; 0.98;SI;;
5133 ;  3 ;  3 ; N/A ; 1.00;SI;;
5134 ; 27 ; 27 ; N/A ; 0.81;SI;;
5135 ;  0 ;  0 ; N/A ; 0.69;SI;;
5136 ; 14 ; 14 ; N/A ; 1.00;SI;;
5137 ;  3 ;  3 ; N/A ; 1.00;SI;;
5138 ;  1 ;  1 ; N/A ; 0.69;SI;;
5139 ; 30 ; 30 ; N/A ; 0.99;SI;;
5140 ; 21 ; 18 ; N/A ; 0.60;NO;;
5141 ; 27 ; 27 ; N/A ; 0.99;SI;;
5142 ;  0 ;  0 ; N/A ; 0.60;SI;;
5143 ; 30 ; 22 ; N/A ; 0.99;NO;;
5144 ; 12 ; 12 ; N/A ; 1.00;SI;;
5145 ;  0 ;  0 ; N/A ; 0.67;SI;;
5146 ;  1 ;  1 ; N/A ; 0.42;SI;;
5147 ; 22 ; 22 ; N/A ; 1.00;SI;;
5148 ; 15 ; 15 ; N/A ; 0.86;SI;;
5149 ;  0 ; 24 ; N/A ; 0.62;NO;;
5150 ; 35 ; 35 ; N/A ; 0.70;SI;;
5151 ; 12 ; 12 ; N/A ; 1.00;SI;;
5152 ; 18 ; 18 ; N/A ; 0.61;SI;;
5153 ; 24 ; 24 ; N/A ; 0.86;SI;;
5154 ; 12 ; 12 ; N/A ; 0.99;SI;;
5155 ;  2 ;  2 ; N/A ; 1.00;SI;;
5156 ;  7 ;  7 ; N/A ; 1.00;SI;;
5157 ; 30 ; 30 ; N/A ; 1.00;SI;;
5158 ; 25 ; 25 ; N/A ; 0.81;SI;;
5159 ; 10 ; 10 ; N/A ; 1.00;SI;;
5160 ; 28 ; 28 ; N/A ; 0.87;SI;;
5161 ; 18 ; 18 ; N/A ; 0.50;SI;;
5162 ; 28 ; 28 ; N/A ; 1.00;SI;;
5163 ; 23 ; 23 ; N/A ; 0.94;SI;;
5164 ; 23 ; 23 ; N/A ; 1.00;SI;;
5165 ; 30 ; 30 ; N/A ; 0.86;SI;;
5166 ; 26 ; 26 ; N/A ; 0.99;SI;;
5167 ;  6 ;  6 ; N/A ; 0.65;SI;;
5168 ; 11 ; 11 ; N/A ; 0.98;SI;;
5169 ; 11 ; 11 ; N/A ; 0.96;SI;;
5170 ; 28 ; 28 ; N/A ; 0.96;SI;;
5171 ; 30 ; 31 ; N/A ; 0.82;NO;;
5172 ;  3 ;  3 ; N/A ; 1.00;SI;;
5173 ;  0 ;  0 ; N/A ; 0.63;SI;;
5174 ; 15 ; 15 ; N/A ; 1.00;SI;;
5175 ;  2 ;  2 ; N/A ; 0.99;SI;;
5176 ; 16 ; 16 ; N/A ; 1.00;SI;;
5177 ; 11 ; 11 ; N/A ; 0.93;SI;;
5178 ;  3 ;  3 ; N/A ; 0.49;SI;;
5179 ; 26 ; 26 ; N/A ; 1.00;SI;;
5180 ;  0 ; 24 ; N/A ; 0.53;NO;;
5181 ;  2 ;  2 ; N/A ; 1.00;SI;;
5182 ; 13 ; 13 ; N/A ; 0.97;SI;;
5183 ;  6 ;  6 ; N/A ; 0.99;SI;;
5184 ; 24 ; 13 ; N/A ; 0.43;NO;;
5185 ; 13 ; 13 ; N/A ; 1.00;SI;;
5186 ;  4 ;  4 ; N/A ; 1.00;SI;;
5187 ;  5 ;  5 ; N/A ; 0.87;SI;;
5188 ; 32 ; 32 ; N/A ; 1.00;SI;;
5189 ; 24 ; 24 ; N/A ; 0.60;SI;;
5190 ;  2 ;  2 ; N/A ; 1.00;SI;;
5191 ;  1 ;  1 ; N/A ; 0.50;SI;;
5192 ;  8 ;  8 ; N/A ; 0.99;SI;;
5193 ; 21 ;  1 ; N/A ; 0.58;NO;;
5194 ; 31 ; 31 ; N/A ; 0.98;SI;;
5195 ; 28 ; 28 ; N/A ; 0.87;SI;;
5196 ;  3 ;  3 ; N/A ; 1.00;SI;;
5197 ; 19 ; 19 ; N/A ; 1.00;SI;;
5198 ;  2 ;  2 ; N/A ; 1.00;SI;;
5199 ; 26 ; 26 ; N/A ; 1.00;SI;;
5200 ;  4 ;  4 ; N/A ; 0.99;SI;;
5201 ;  5 ;  5 ; N/A ; 1.00;SI;;
5202 ; 16 ; 16 ; N/A ; 1.00;SI;;
5203 ; 19 ; 19 ; N/A ; 1.00;SI;;
5204 ;  5 ;  5 ; N/A ; 0.72;SI;;
5205 ; 35 ; 35 ; N/A ; 0.99;SI;;
5206 ;  8 ;  8 ; N/A ; 0.98;SI;;
5207 ; 33 ; 33 ; N/A ; 1.00;SI;;
5208 ; 16 ; 16 ; N/A ; 0.97;SI;;
5209 ; 16 ; 16 ; N/A ; 1.00;SI;;
5210 ;  2 ; 19 ; N/A ; 0.70;NO;;
5211 ; 31 ; 31 ; N/A ; 0.94;SI;;
5212 ; 13 ; 13 ; N/A ; 0.97;SI;;
5213 ;  0 ; 13 ; N/A ; 0.45;NO;;
5214 ;  2 ;  2 ; N/A ; 0.95;SI;;
5215 ; 35 ; 35 ; N/A ; 0.99;SI;;
5216 ; 26 ; 26 ; N/A ; 0.96;SI;;
5217 ; 26 ; 26 ; N/A ; 0.87;SI;;
5218 ; 20 ; 20 ; N/A ; 0.86;SI;;
5219 ; 10 ; 10 ; N/A ; 0.53;SI;;
5220 ; 15 ; 15 ; N/A ; 0.99;SI;;
5221 ; 17 ; 17 ; N/A ; 0.99;SI;;
5222 ; 24 ; 24 ; N/A ; 0.58;SI;;
5223 ; 20 ; 20 ; N/A ; 0.92;SI;;
5224 ; 10 ; 10 ; N/A ; 1.00;SI;;
5225 ;  1 ;  1 ; N/A ; 0.55;SI;;
5226 ; 26 ; 26 ; N/A ; 0.43;SI;;
5227 ; 20 ; 23 ; N/A ; 1.00;NO;;
5228 ; 16 ; 16 ; N/A ; 1.00;SI;;
5229 ; 22 ; 22 ; N/A ; 0.87;SI;;
5230 ; 29 ; 29 ; N/A ; 1.00;SI;;
5231 ; 30 ; 30 ; N/A ; 0.83;SI;;
5232 ;  2 ;  2 ; N/A ; 0.86;SI;;
5233 ; 14 ; 14 ; N/A ; 1.00;SI;;
5234 ; 24 ;  0 ; N/A ; 0.60;NO;;
5235 ; 31 ; 31 ; N/A ; 0.99;SI;;
5236 ; 32 ; 32 ; N/A ; 1.00;SI;;
5237 ; 13 ; 24 ; N/A ; 0.78;NO;;
5238 ; 35 ; 35 ; N/A ; 0.93;SI;;
5239 ;  1 ; 18 ; N/A ; 0.45;NO;;
5240 ; 13 ; 13 ; N/A ; 0.99;SI;;
5241 ; 26 ; 26 ; N/A ; 1.00;SI;;
5242 ; 10 ; 10 ; N/A ; 1.00;SI;;
5243 ;  4 ;  4 ; N/A ; 1.00;SI;;
5244 ; 21 ; 18 ; N/A ; 0.73;NO;;
5245 ; 31 ; 31 ; N/A ; 0.99;SI;;
5246 ; 22 ; 22 ; N/A ; 0.95;SI;;
5247 ; 28 ; 28 ; N/A ; 0.98;SI;;
5248 ;  0 ;  0 ; N/A ; 0.63;SI;;
5249 ; 30 ; 30 ; N/A ; 0.57;SI;;
5250 ; 27 ; 27 ; N/A ; 0.99;SI;;
5251 ; 19 ; 19 ; N/A ; 0.96;SI;;
5252 ; 20 ; 20 ; N/A ; 0.99;SI;;
5253 ; 20 ; 20 ; N/A ; 1.00;SI;;
5254 ; 17 ; 17 ; N/A ; 1.00;SI;;
5255 ; 20 ; 20 ; N/A ; 0.97;SI;;
5256 ; 28 ; 28 ; N/A ; 0.93;SI;;
5257 ;  5 ;  5 ; N/A ; 0.84;SI;;
5258 ; 29 ; 29 ; N/A ; 1.00;SI;;
5259 ; 23 ; 23 ; N/A ; 0.99;SI;;
5260 ; 28 ; 28 ; N/A ; 1.00;SI;;
5261 ; 15 ; 15 ; N/A ; 1.00;SI;;
5262 ;  8 ;  8 ; N/A ; 0.96;SI;;
5263 ; 15 ; 15 ; N/A ; 0.73;SI;;
5264 ; 23 ; 23 ; N/A ; 0.78;SI;;
5265 ; 31 ; 31 ; N/A ; 0.99;SI;;
5266 ; 28 ; 28 ; N/A ; 0.95;SI;;
5267 ;  4 ;  4 ; N/A ; 1.00;SI;;
5268 ;  6 ;  6 ; N/A ; 0.90;SI;;
5269 ; 32 ; 32 ; N/A ; 1.00;SI;;
5270 ; 32 ; 32 ; N/A ; 0.96;SI;;
5271 ; 23 ; 23 ; N/A ; 0.88;SI;;
5272 ; 33 ; 33 ; N/A ; 1.00;SI;;
5273 ; 33 ; 33 ; N/A ; 1.00;SI;;
5274 ; 25 ; 25 ; N/A ; 1.00;SI;;
5275 ; 13 ; 13 ; N/A ; 1.00;SI;;
5276 ; 23 ; 23 ; N/A ; 0.97;SI;;
5277 ; 10 ; 10 ; N/A ; 1.00;SI;;
5278 ; 25 ; 25 ; N/A ; 1.00;SI;;
5279 ;  3 ;  3 ; N/A ; 1.00;SI;;
5280 ; 32 ; 32 ; N/A ; 1.00;SI;;
5281 ; 14 ; 14 ; N/A ; 0.97;SI;;
5282 ; 23 ; 23 ; N/A ; 1.00;SI;;
5283 ;  9 ;  9 ; N/A ; 0.79;SI;;
5284 ;  3 ;  3 ; N/A ; 0.94;SI;;
5285 ; 33 ; 33 ; N/A ; 1.00;SI;;
5286 ; 23 ; 23 ; N/A ; 0.98;SI;;
5287 ; 33 ; 33 ; N/A ; 0.99;SI;;
5288 ; 10 ; 10 ; N/A ; 1.00;SI;;
5289 ; 10 ; 10 ; N/A ; 0.99;SI;;
5290 ;  3 ;  3 ; N/A ; 0.69;SI;;
5291 ; 33 ; 33 ; N/A ; 1.00;SI;;
5292 ;  9 ;  9 ; N/A ; 0.99;SI;;
5293 ;  8 ;  8 ; N/A ; 1.00;SI;;
5294 ; 16 ; 16 ; N/A ; 0.91;SI;;
5295 ; 24 ; 24 ; N/A ; 0.76;SI;;
5296 ; 30 ; 30 ; N/A ; 0.61;SI;;
5297 ; 26 ; 26 ; N/A ; 1.00;SI;;
5298 ;  0 ; 24 ; N/A ; 0.51;NO;;
5299 ; 23 ; 23 ; N/A ; 0.94;SI;;
5300 ; 29 ; 29 ; N/A ; 1.00;SI;;
5301 ; 19 ; 19 ; N/A ; 0.99;SI;;
5302 ; 12 ; 12 ; N/A ; 0.83;SI;;
5303 ; 10 ; 10 ; N/A ; 0.96;SI;;
5304 ;  0 ; 24 ; N/A ; 0.60;NO;;
5305 ; 22 ; 22 ; N/A ; 1.00;SI;;
5306 ; 12 ; 12 ; N/A ; 1.00;SI;;
5307 ; 34 ; 34 ; N/A ; 1.00;SI;;
5308 ; 19 ; 19 ; N/A ; 0.78;SI;;
5309 ; 29 ; 29 ; N/A ; 0.98;SI;;
5310 ; 27 ; 27 ; N/A ; 1.00;SI;;
5311 ; 12 ; 12 ; N/A ; 0.68;SI;;
5312 ; 33 ; 33 ; N/A ; 0.99;SI;;
5313 ; 35 ; 35 ; N/A ; 0.84;SI;;
5314 ; 32 ; 32 ; N/A ; 1.00;SI;;
5315 ; 18 ; 18 ; N/A ; 0.55;SI;;
5316 ; 30 ; 30 ; N/A ; 0.99;SI;;
5317 ; 26 ; 26 ; N/A ; 1.00;SI;;
5318 ;  6 ;  6 ; N/A ; 1.00;SI;;
5319 ; 19 ; 19 ; N/A ; 0.99;SI;;
5320 ;  5 ;  5 ; N/A ; 0.90;SI;;
5321 ;  4 ;  4 ; N/A ; 0.94;SI;;
5322 ; 15 ; 15 ; N/A ; 0.97;SI;;
5323 ; 27 ; 27 ; N/A ; 0.96;SI;;
5324 ; 22 ; 22 ; N/A ; 0.96;SI;;
5325 ; 31 ; 31 ; N/A ; 0.96;SI;;
5326 ;  2 ;  2 ; N/A ; 1.00;SI;;
5327 ; 14 ; 14 ; N/A ; 0.99;SI;;
